,trial,code,batch_size,sequence_size,overlap,epoch,accuracy,loss,val_accuracy,val_loss,test_accuracy,test_loss,confusion_matrix,classification_report
0,trial_01,islf,16,6,,62.0,0.9981260895729064,0.00787328276783228,0.9813829660415648,0.203451469540596,0.12222222238779068,12.129389762878418,cm_trial_01_islf_16_6.csv,cr_trial_01_islf_16_6.csv
1,trial_01,islf,16,12,,24.0,0.9986348748207092,0.005539935082197189,0.95365971326828,0.2860252559185028,0.1111111119389534,11.394869804382324,cm_trial_01_islf_16_12.csv,cr_trial_01_islf_16_12.csv
2,trial_01,islf,16,24,,0.0,0.11216049641370772,2.1972036361694336,0.11116600781679152,2.197274684906006,0.1111111119389534,2.1972622871398926,cm_trial_01_islf_16_24.csv,cr_trial_01_islf_16_24.csv
3,trial_01,islf,32,6,,31.0,0.9940370917320251,0.025244412943720814,0.9598214030265808,0.3119761645793915,0.14444445073604584,7.292805194854736,cm_trial_01_islf_32_6.csv,cr_trial_01_islf_32_6.csv
4,trial_01,islf,32,12,,60.0,0.999584138393402,0.0018662739312276246,0.97208970785141,0.41469842195510864,0.1111111119389534,12.232620239257812,cm_trial_01_islf_32_12.csv,cr_trial_01_islf_32_12.csv
5,trial_01,islf,32,24,,31.0,0.9997220635414124,0.0020622846204787493,0.984560251235962,0.1940007656812668,0.1666666716337204,7.602420330047607,cm_trial_01_islf_32_24.csv,cr_trial_01_islf_32_24.csv
6,trial_01,islf,64,6,,31.0,0.996232271194458,0.025422213599085808,0.9098214507102966,0.7182502150535583,0.1388888955116272,11.21218204498291,cm_trial_01_islf_64_6.csv,cr_trial_01_islf_64_6.csv
7,trial_01,islf,64,12,,46.0,0.9998812079429626,0.0018357712542638183,0.9730769395828248,0.2811056673526764,0.16111111640930176,10.677485466003418,cm_trial_01_islf_64_12.csv,cr_trial_01_islf_64_12.csv
8,trial_01,kabf,16,6,,53.0,0.9948192238807678,0.02104455977678299,0.947251796722412,0.31281188130378723,0.1111111119389534,9.26689338684082,cm_trial_01_kabf_16_6.csv,cr_trial_01_kabf_16_6.csv
9,trial_01,kabf,16,12,,65.0,0.9994064569473268,0.0035611388739198455,0.9938212633132936,0.03782329708337784,0.16111111640930176,10.740839958190918,cm_trial_01_kabf_16_12.csv,cr_trial_01_kabf_16_12.csv
10,trial_01,kabf,16,24,,26.0,0.9995061755180359,0.0025762266013771296,0.9722084999084472,0.3866479396820069,0.1944444477558136,9.481389999389648,cm_trial_01_kabf_16_24.csv,cr_trial_01_kabf_16_24.csv
11,trial_01,kabf,32,6,,33.0,0.9958038926124572,0.018085438758134842,0.9763392806053162,0.15253208577632904,0.1944444477558136,8.250205993652344,cm_trial_01_kabf_32_6.csv,cr_trial_01_kabf_32_6.csv
12,trial_01,kabf,32,12,,52.0,0.9991088509559632,0.003746211994439364,0.9723282456398008,0.3630407154560089,0.2388888895511627,8.649128913879395,cm_trial_01_kabf_32_12.csv,cr_trial_01_kabf_32_12.csv
13,trial_01,kabf,32,24,,69.0,0.9998456239700316,0.0008621105807833374,0.9939476251602172,0.03563592210412025,0.20555555820465088,10.428406715393066,cm_trial_01_kabf_32_24.csv,cr_trial_01_kabf_32_24.csv
14,trial_01,kabf,64,6,,31.0,0.9957889914512634,0.01947426609694957,0.9290178418159484,0.3920272886753082,0.20000000298023224,9.895811080932617,cm_trial_01_kabf_64_6.csv,cr_trial_01_kabf_64_6.csv
15,trial_01,kabf,64,12,,36.0,0.9995247125625608,0.00234037428162992,0.9689903855323792,0.333642452955246,0.25555557012557983,8.455319404602049,cm_trial_01_kabf_64_12.csv,cr_trial_01_kabf_64_12.csv
16,trial_01,kabf,64,24,,32.0,0.9998456239700316,0.0005991145735606551,0.9786706566810608,0.2644006609916687,0.25,9.558382034301758,cm_trial_01_kabf_64_24.csv,cr_trial_01_kabf_64_24.csv
17,trial_01,lekf,16,6,,3.0,0.10493826866149902,2.1975691318511963,0.11170212924480437,2.1972336769104004,0.1111111119389534,2.1972196102142334,cm_trial_01_lekf_16_6.csv,cr_trial_01_lekf_16_6.csv
